Temperature_K	Magnetism_One_K	Magnetism_Two_K	Magnetism_Three_K	Susceptibility_One_K	Susceptibility_Two_K	Susceptibility_Three_K	Energy_K	Heat_Capacity_K	Heat_Capacity_Over_Temp_K	Entropy_K	Prob1	Prob_neg1	Prob0
10	0.00166047	-0.000642359	-0.00101811	0.000188043	0.000170246	0.00019495	-110.796	9.41818	0.941818	1.0986	0.334976	0.334976	0.330049
9.999	0.00277015	0.000536067	-0.00330622	0.000178929	0.000180078	0.000171911	-109.015	9.68388	0.968485	1.0986	0.335106	0.335106	0.329787
9.998	0.00208783	-0.00254634	0.000458504	0.000199459	0.000170865	0.000197386	-107.168	10.7536	1.07557	1.0986	0.335723	0.335723	0.328554
9.997	0.00196601	0.00407381	-0.00603983	0.000176612	0.000181136	0.000188118	-110.593	9.22139	0.922416	1.0986	0.33555	0.33555	0.3289
9.996	-0.0018647	0.000575978	0.00128873	0.000174106	0.000192838	0.000183827	-106.038	9.16551	0.916917	1.0986	0.335072	0.335072	0.329857
9.995	-0.000455863	-0.00142284	0.0018787	0.000172837	0.000163355	0.000165479	-111.746	8.56652	0.857081	1.09859	0.335338	0.335338	0.329325
9.994	-0.00414197	-0.000433444	0.00457541	0.000182256	0.000192289	0.00018048	-108.2	9.68814	0.969395	1.09859	0.334838	0.334838	0.330325
9.993	0.00556133	-0.00186422	-0.0036971	0.000179049	0.00017758	0.000196531	-110.406	8.87033	0.887654	1.09859	0.335275	0.335275	0.32945
9.992	-0.00146876	0.000431819	0.00103694	0.000180255	0.000196707	0.000198296	-111.468	9.11184	0.911913	1.09859	0.334897	0.334897	0.330205
9.991	0.000145604	-0.0040374	0.00389179	0.000176813	0.000195058	0.000180324	-109.908	9.49624	0.950479	1.09859	0.334921	0.334921	0.330158
9.99	0.00109597	-0.00054087	-0.0005551	0.000199035	0.000190082	0.000200708	-106.753	10.7966	1.08074	1.09859	0.33527	0.33527	0.329461
9.989	-0.00160713	0.0027623	-0.00115516	0.000192028	0.000190074	0.000184238	-107.834	10.0581	1.00691	1.09859	0.335504	0.335504	0.328991
9.988	-0.00141172	0.000123874	0.00128785	0.000179713	0.000168807	0.000188111	-104.53	8.79478	0.880535	1.09859	0.335559	0.335559	0.328883
9.987	0.00114046	0.00127054	-0.002411	0.000198003	0.000184954	0.000201174	-108.286	9.48774	0.950009	1.09859	0.335364	0.335364	0.329272
9.986	-0.00103038	-0.000407126	0.0014375	0.000171298	0.000183662	0.00018372	-113.625	9.63368	0.964719	1.09859	0.334967	0.334967	0.330067
9.985	0.00141151	-0.00148797	7.64593e-005	0.000191845	0.000181543	0.000193	-109.086	9.87131	0.988614	1.09858	0.335367	0.335367	0.329267
9.984	0.00120459	-0.00492741	0.00372282	0.000181356	0.000176484	0.000170962	-114.685	9.71739	0.973296	1.09858	0.334767	0.334767	0.330465
9.983	-0.00099257	0.000782296	0.000210274	0.000172941	0.000182853	0.000173956	-109.019	8.68047	0.869525	1.09858	0.335199	0.335199	0.329602
9.982	-0.00207899	0.00328019	-0.0012012	0.00015952	0.000172396	0.00016474	-108.128	9.34223	0.935907	1.09858	0.335531	0.335531	0.328938
9.981	0.00129475	0.00044093	-0.00173568	0.000190156	0.000184208	0.00017158	-110.646	9.8907	0.990953	1.09858	0.33525	0.33525	0.329501
9.98	0.000493596	0.000364944	-0.000858541	0.000189664	0.000196365	0.000184494	-111.821	9.1461	0.916443	1.09858	0.33517	0.33517	0.32966
9.979	-0.00212877	-0.00147561	0.00360438	0.000175992	0.000189395	0.000182064	-108.905	8.95683	0.897568	1.09858	0.335136	0.335136	0.329729
9.978	0.000676907	-0.00072587	4.8963e-005	0.000174696	0.000169665	0.000176224	-107.744	9.85652	0.987825	1.09858	0.335245	0.335245	0.32951
9.977	0.00164723	-0.00378271	0.00213548	0.00018443	0.00018102	0.000189051	-107.998	8.98657	0.900729	1.09858	0.335507	0.335507	0.328987
9.976	-0.00299852	0.00253189	0.000466633	0.000184188	0.000190075	0.000189965	-107.551	9.30242	0.93248	1.09857	0.335428	0.335428	0.329143
9.975	0.00159509	0.000546122	-0.00214121	0.000176682	0.000171567	0.00018327	-106.889	9.9148	0.993965	1.09857	0.335309	0.335309	0.329382
9.974	0.000624611	-0.000144781	-0.00047983	0.00016836	0.000174296	0.000176487	-107.206	10.3962	1.04233	1.09857	0.335138	0.335138	0.329724
9.973	0.00306491	-0.00319906	0.000134144	0.000180367	0.000173871	0.000186985	-111.08	8.89038	0.891445	1.09857	0.335552	0.335552	0.328896
9.972	0.000568293	-0.00306314	0.00249484	0.000183511	0.000192857	0.000192139	-105.849	9.40283	0.942923	1.09857	0.3353	0.3353	0.3294
9.971	0.00329001	-0.00198412	-0.00130589	0.000187507	0.000179356	0.00018943	-104.257	9.53951	0.956725	1.09857	0.335549	0.335549	0.328902
9.97	-0.00138591	0.00159181	-0.000205904	0.000186647	0.000170232	0.00017363	-109.672	10.2848	1.03157	1.09857	0.33502	0.33502	0.32996
9.969	-0.000469533	-4.88741e-005	0.000518407	0.000176719	0.000170584	0.000161712	-103.481	7.99479	0.801965	1.09857	0.335284	0.335284	0.329433
9.968	0.00369071	0.00193647	-0.00562718	0.00018356	0.000170673	0.000172671	-109.147	9.25056	0.928025	1.09857	0.334851	0.334851	0.330299
9.967	-0.00155916	-0.0017538	0.00331296	0.000184098	0.000166662	0.000167423	-110.27	9.52566	0.95572	1.09857	0.33544	0.33544	0.32912
