Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
10	0.0310347	0.0326644	0.0335023	6.1129e-005	5.50394e-005	6.28415e-005	-152.165	13.3358	1.33358	0	0.33501	0.335093	0.329897
9.999	0.0310046	0.0315208	0.030794	5.67083e-005	5.93318e-005	5.564e-005	-155.124	12.9807	1.2982	1.029e-006	0.335049	0.335167	0.329784
9.998	0.0307685	0.0308426	0.0311852	6.03605e-005	5.58213e-005	5.80059e-005	-154.526	13.5128	1.35155	2.03069e-006	0.335415	0.335296	0.329289
9.997	0.0316042	0.0319769	0.031544	5.42229e-005	5.80761e-005	6.30257e-005	-154.242	14.3394	1.43437	3.07356e-006	0.335392	0.335191	0.329417
9.996	0.0332986	0.0309074	0.032037	6.16495e-005	5.65481e-005	5.77951e-005	-153.049	14.3323	1.4338	4.18032e-006	0.335799	0.335448	0.328752
9.995	0.0325579	0.0313657	0.0324722	5.58572e-005	5.86807e-005	6.03414e-005	-155.078	13.7134	1.37202	5.28665e-006	0.33535	0.335484	0.329166
9.994	0.0317986	0.0329977	0.0324653	5.96454e-005	5.83415e-005	6.27007e-005	-153.632	15.2761	1.52852	6.34531e-006	0.335176	0.335569	0.329255
9.993	0.0315093	0.0317662	0.0305694	5.33196e-005	5.57673e-005	5.29432e-005	-154.055	14.2219	1.42319	7.52473e-006	0.335563	0.334942	0.329495
9.992	0.0328889	0.0311667	0.0317755	5.89617e-005	5.6082e-005	6.11581e-005	-155.507	13.2105	1.32211	8.62287e-006	0.335354	0.335239	0.329407
9.991	0.0298681	0.031	0.0320509	5.01489e-005	5.67943e-005	6.07415e-005	-154.504	14.8154	1.48287	9.64301e-006	0.335424	0.335517	0.329059
9.99	0.0314769	0.0312153	0.032912	5.42029e-005	5.76589e-005	6.19696e-005	-154.56	13.9297	1.39436	1.07872e-005	0.334905	0.335207	0.329888
9.989	0.0328981	0.0328264	0.0333032	6.36498e-005	6.30657e-005	6.12681e-005	-154.167	14.0595	1.4075	1.18631e-005	0.335265	0.335201	0.329534
9.988	0.0321574	0.032	0.0326088	5.70066e-005	5.88675e-005	5.81306e-005	-153.36	14.7245	1.47422	1.29491e-005	0.335285	0.335159	0.329556
9.987	0.0313495	0.0327616	0.0313102	5.71871e-005	6.05552e-005	5.62724e-005	-153.589	12.3913	1.24074	1.40867e-005	0.335277	0.335194	0.329529
9.986	0.0311829	0.0319213	0.0321111	5.66826e-005	5.75479e-005	5.84739e-005	-154.503	13.0653	1.30836	1.5044e-005	0.335416	0.335353	0.329231
9.985	0.032581	0.0321181	0.0332755	5.76382e-005	5.9539e-005	5.95127e-005	-154.497	13.9545	1.39755	1.60536e-005	0.335193	0.335188	0.32962
9.984	0.0316296	0.03375	0.0321065	5.57128e-005	6.56452e-005	6.01996e-005	-156.307	14.4511	1.44743	1.71319e-005	0.335451	0.335265	0.329284
9.983	0.0321551	0.0323657	0.0328032	5.99587e-005	6.16938e-005	6.55026e-005	-155.71	13.2684	1.3291	1.82487e-005	0.335626	0.33522	0.329154
9.982	0.0319259	0.0306042	0.033081	6.32143e-005	5.4346e-005	6.06374e-005	-153.255	14.3104	1.43362	1.92743e-005	0.335043	0.33552	0.329437
9.981	0.0327639	0.0312407	0.0307731	6.00626e-005	5.51116e-005	5.67165e-005	-153.877	13.6682	1.36942	2.03805e-005	0.335403	0.335523	0.329074
9.98	0.0317153	0.033088	0.0322523	6.01724e-005	5.6821e-005	5.7818e-005	-156.143	14.1581	1.41865	2.14371e-005	0.335289	0.335375	0.329336
9.979	0.032669	0.0315023	0.0327315	6.20968e-005	5.61043e-005	5.65769e-005	-153.466	14.8414	1.48726	2.25318e-005	0.335402	0.335402	0.329196
9.978	0.0320301	0.0320648	0.0324583	6.0635e-005	6.20944e-005	6.00416e-005	-153.772	14.4821	1.4514	2.36793e-005	0.335356	0.334987	0.329657
