Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Glauber	Heat_Capacity_Glauber	Heat_Capacity_Over_Temp	Entropy_Glauber	Prob1	Prob0	Prob_-1
10	0.0381133	0.0378667	0.0389367	8.00974e-005	8.8976e-005	8.37303e-005	-108.073	9.01824	0.901824	0	0.335126	0.335187	0.329688
9.999	0.03975	0.03768	0.0384133	9.1084e-005	7.60338e-005	8.82037e-005	-106.178	9.92523	0.992622	1.00203e-006	0.335158	0.335563	0.329279
9.998	0.03941	0.03969	0.0378167	8.7286e-005	8.56108e-005	8.57771e-005	-106.65	9.70612	0.970806	2.10494e-006	0.335463	0.33522	0.329317
9.997	0.03948	0.0394533	0.03723	8.73058e-005	8.80721e-005	8.31365e-005	-105.953	10.3148	1.03179	3.18361e-006	0.33523	0.335333	0.329437
9.996	0.0386333	0.0390667	0.0399867	8.0212e-005	8.89618e-005	8.67903e-005	-106.915	9.44791	0.94517	4.33004e-006	0.335201	0.33543	0.329369
9.995	0.0382767	0.0389	0.03881	8.24031e-005	8.44346e-005	8.22495e-005	-107.869	9.65483	0.965966	5.38023e-006	0.335312	0.33559	0.329098
9.994	0.0377267	0.0397267	0.0383867	8.89699e-005	9.06758e-005	8.42303e-005	-107.998	8.9684	0.897378	6.45353e-006	0.335181	0.335461	0.329358
9.993	0.03982	0.03663	0.0370233	8.98997e-005	8.44067e-005	8.23193e-005	-109.008	9.42303	0.942963	7.45061e-006	0.335002	0.335464	0.329533
9.992	0.03886	0.0396167	0.03965	9.01043e-005	8.67136e-005	8.80171e-005	-107.819	9.31588	0.932334	8.49835e-006	0.334871	0.335398	0.329731
9.991	0.0392267	0.0386867	0.0395867	8.85377e-005	9.25464e-005	9.29866e-005	-105.986	9.73006	0.973883	9.53428e-006	0.335502	0.335102	0.329396
9.99	0.0393567	0.0409267	0.04138	8.45176e-005	9.5801e-005	9.19593e-005	-106.689	9.9023	0.991221	1.06164e-005	0.335381	0.335269	0.32935
9.989	0.0384833	0.03744	0.0376767	8.51091e-005	8.38636e-005	6.90551e-005	-107.874	10.1957	1.02069	1.17177e-005	0.335317	0.335654	0.329029
9.988	0.0379433	0.0373967	0.0371167	7.83677e-005	8.13744e-005	7.76874e-005	-109.588	9.45157	0.946293	1.28518e-005	0.335441	0.335349	0.32921
9.987	0.0397233	0.04066	0.03784	9.15102e-005	8.67181e-005	8.55335e-005	-108.399	9.5459	0.955833	1.39033e-005	0.334669	0.335392	0.329939
9.986	0.0384667	0.0377933	0.0381333	8.67641e-005	8.16251e-005	7.88575e-005	-107.524	9.62041	0.96339	1.49653e-005	0.334993	0.335073	0.329933
9.985	0.0380033	0.0379633	0.04045	8.27866e-005	8.41258e-005	8.35684e-005	-106.38	9.67081	0.968533	1.60357e-005	0.335083	0.335884	0.329032
9.984	0.0385433	0.0388367	0.0378	8.87042e-005	8.28428e-005	8.25102e-005	-108.185	9.52286	0.953812	1.71119e-005	0.335062	0.335396	0.329542
