Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy_Kawasaki	Prob1	Prob0	Prob_-1
10	0.0314285	0.0305167	0.0316088	5.58533e-005	5.2735e-005	5.55529e-005	-84.2325	7.52856	0.752856	0	0.294629	0.294629	0.410742
9.999	0.031973	0.0315711	0.0316856	5.76605e-005	5.68826e-005	5.68676e-005	-84.8947	7.76953	0.777031	8.36507e-007	0.294913	0.294913	0.410173
9.998	0.0315039	0.0317646	0.0318438	5.68876e-005	6.04486e-005	5.71824e-005	-84.4905	7.76297	0.776452	1.69987e-006	0.295084	0.295084	0.409831
9.997	0.031408	0.0314722	0.0324857	5.57277e-005	5.6769e-005	6.01079e-005	-86.4518	7.74281	0.774514	2.5626e-006	0.295035	0.295035	0.409929
9.996	0.031298	0.0316298	0.0314736	5.48957e-005	5.81781e-005	5.65829e-005	-83.3993	7.70534	0.770842	3.42317e-006	0.295085	0.295085	0.40983
9.995	0.0309841	0.0308942	0.0317176	5.598e-005	5.64836e-005	5.6577e-005	-85.9661	7.47106	0.74748	4.27966e-006	0.294617	0.294617	0.410766
9.994	0.0313831	0.0310414	0.0314266	5.73196e-005	5.62089e-005	5.5156e-005	-83.1979	7.50915	0.751366	5.11019e-006	0.294453	0.294453	0.411094
9.993	0.0319734	0.031731	0.0314394	5.54234e-005	5.71925e-005	5.44764e-005	-85.9502	7.03545	0.704037	5.94504e-006	0.294814	0.294814	0.410371
9.992	0.0316754	0.0315111	0.0317926	5.78128e-005	5.67051e-005	5.64822e-005	-83.654	7.40812	0.741405	6.72731e-006	0.294879	0.294879	0.410242
9.991	0.0310981	0.0305467	0.0314068	5.63562e-005	5.41322e-005	5.47639e-005	-85.2416	8.26183	0.826927	7.55109e-006	0.294285	0.294285	0.411431
9.99	0.031652	0.030292	0.0310651	5.76537e-005	5.20839e-005	5.69559e-005	-85.1042	7.74784	0.77556	8.4699e-006	0.295149	0.295149	0.409702
9.989	0.0314311	0.0317746	0.0313868	5.77896e-005	5.99346e-005	5.52991e-005	-83.9697	7.60086	0.760923	9.33163e-006	0.294749	0.294749	0.410503
9.988	0.0316588	0.0303941	0.0317068	5.8173e-005	5.28454e-005	5.50942e-005	-81.7267	8.03669	0.804634	1.01771e-005	0.295178	0.295178	0.409643
9.987	0.030997	0.0317142	0.031156	5.47731e-005	5.55773e-005	5.41518e-005	-83.559	7.38375	0.739336	1.10711e-005	0.294743	0.294743	0.410514
9.986	0.031871	0.0320315	0.0315264	5.72505e-005	5.9694e-005	5.72732e-005	-84.7705	7.94183	0.795296	1.18926e-005	0.294393	0.294393	0.411213
9.985	0.0320814	0.0320687	0.0318089	6.06387e-005	5.81197e-005	5.7701e-005	-85.7255	7.25834	0.726924	1.27763e-005	0.294673	0.294673	0.410653
