Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
0.001	0.43548	0.7241	0.47786	51.8616	30.8201	50.3524	-900	0	0	0	0.45334	0.455538	0.0911222
0.002	0.474403	0.651253	0.439963	44.4549	10.0995	37.5629	-900	0	0	0	0.455932	0.453497	0.0905711
0.003	0.421403	0.516617	0.666057	25.778	16.7071	13.7051	-900	0	0	0	0.45379	0.455171	0.0910389
0.004	0.613973	0.463673	0.508623	8.12882	24.3483	9.9577	-900	0	0	0	0.455501	0.453933	0.0905656
0.005	0.71147	0.43113	0.450697	4.28341	10.6614	17.5362	-900	0	0	0	0.454816	0.454772	0.0904122
0.006	0.651347	0.66096	0.33437	6.82783	7.88982	6.90307	-900	0	0	0	0.454371	0.454919	0.09071
0.007	0.612323	0.302793	0.665103	5.51303	4.73511	5.125	-900	0	0	0	0.454952	0.45461	0.0904378
0.008	0.542777	0.48126	0.657843	7.20615	9.40911	5.85669	-900	0	0	0	0.454316	0.454778	0.0909067
0.009	0.683133	0.661373	0.292993	3.81781	2.8291	2.4107	-900	0	0	0	0.453921	0.455563	0.0905156
0.01	0.482177	0.702433	0.37722	6.07327	1.83817	7.03874	-900	0	0	0	0.45405	0.455304	0.0906456
0.011	0.57654	0.70533	0.29899	4.40625	2.11369	3.80698	-900	0	0	0	0.455141	0.454257	0.0906022
0.012	0.59073	0.49934	0.560373	3.41731	5.29265	6.90928	-900	0	0	0	0.454186	0.454947	0.0908678
0.013	0.548953	0.443673	0.603787	4.02212	6.65408	3.75259	-900	0	0	0	0.454741	0.454461	0.0907978
0.014	0.569223	0.65295	0.398697	5.50244	2.18765	5.21134	-900	0	0	0	0.454669	0.454568	0.0907633
0.015	0.214253	0.718103	0.647967	1.16324	1.09608	1.34087	-900	0	0	0	0.453764	0.45571	0.0905256
0.016	0.52079	0.515973	0.585763	3.0125	6.0431	4.49545	-900	0	0	0	0.454221	0.454812	0.0909667
0.017	0.4414	0.406057	0.74835	4.00945	3.48132	0.734358	-900	0	0	0	0.456054	0.453292	0.0906533
0.018	0.424493	0.755613	0.441997	3.06833	0.655101	3.33509	-900	0	0	0	0.453349	0.455994	0.0906567
0.019	0.325157	0.61628	0.651487	2.31952	2.95593	1.97942	-900	0	0	0	0.454728	0.454707	0.0905656
0.02	0.731777	0.360533	0.557983	1.12016	2.99621	2.71915	-900	0	0	0	0.453034	0.455808	0.0911578
0.021	0.512487	0.48185	0.610023	3.74941	3.78196	2.00665	-900	0	0	0	0.455207	0.454078	0.0907156
0.022	0.567183	0.51632	0.533707	3.71628	2.39824	2.04815	-900	0	0	0	0.453789	0.455632	0.0905789
0.023	0.750377	0.60635	0.243707	0.394829	1.84549	2.24867	-900	0	0	0	0.455716	0.453244	0.09104
0.024	0.318193	0.532333	0.755113	1.82261	1.81826	0.458466	-900	0	0	0	0.453402	0.456127	0.0904711
0.025	0.55322	0.548023	0.513413	3.13793	2.8503	2.16533	-900	0	0	0	0.455058	0.453974	0.0909678
0.026	0.639697	0.676797	0.253847	0.671364	1.61929	1.69678	-900	0	0	0	0.452967	0.456544	0.0904889
0.027	0.423637	0.65308	0.533833	3.07694	1.48427	1.9522	-900	0	0	0	0.454629	0.454332	0.0910389
0.028	0.473993	0.679053	0.444127	2.87131	1.81046	2.096	-900	0	0	0	0.455409	0.453871	0.09072
0.029	0.591763	0.56865	0.458687	1.50771	2.35166	2.44696	-900	0	0	0	0.453686	0.455908	0.0904067
0.03	0.583133	0.452667	0.58992	2.62771	1.88183	1.95586	-900	0	0	0	0.454633	0.454344	0.0910222
0.031	0.724737	0.50308	0.393117	1.27856	1.75271	1.19095	-900	0	0	0	0.452232	0.456606	0.0911622
0.032	0.650097	0.53411	0.412853	1.05749	1.99767	2.65743	-900	0	0	0	0.454399	0.455017	0.0905844
0.033	0.758853	0.544833	0.273007	0.246062	1.29434	1.31445	-900	0	0	0	0.45615	0.453148	0.0907022
0.034	0.39524	0.60932	0.64487	1.07334	1.5846	1.55699	-900	0	0	0	0.454674	0.454647	0.0906789
