Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
0.001	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.002	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.003	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.004	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.005	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.006	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.007	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.008	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.009	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.01	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.011	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.012	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.013	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.014	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.015	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.016	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.017	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.018	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.019	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.02	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.021	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.022	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.023	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.024	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.025	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.026	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.027	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.028	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.029	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.03	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.031	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.032	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.033	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.034	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.035	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.036	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.037	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.038	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.039	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.04	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.041	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.042	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.043	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.044	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.045	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.046	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.047	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.048	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.049	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.05	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.051	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.052	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.053	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.054	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.055	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.056	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.057	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.058	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.059	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.06	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.061	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.062	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.063	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.064	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.065	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.066	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.067	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.068	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.069	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.07	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.071	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.072	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.073	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.074	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.075	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.076	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.077	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.078	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.079	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
0.08	0	1	1	0	0	0	-900	0	0	0	0.333333	0.333333	0.333333
