0	1
0	0.997654	0.666666	-4.29501e+008	-1.#INF	1.#INF
0.01	0.997608	0.666666	-4.29501e+008	-6400	6.3705e-007
0.02	0.997623	0.666666	-4.29501e+008	-2400	3.43412e-007
0.03	0.997608	0.666666	-4.29501e+008	-1066.67	2.28227e-007
0.04	0.997654	0.666666	-4.29501e+008	-600	1.48605e-007
0.05	0.997639	0.666666	-4.29501e+008	-384	1.28172e-007
0.06	0.997577	0.666666	-4.29501e+008	-266.667	1.29037e-007
0.07	0.99767	0.666666	-4.29501e+008	-195.918	9.18237e-008
0.08	0.997623	0.666666	-4.29501e+008	-100	8.5853e-008
0.09	0.99767	0.666666	-4.29501e+008	-118.519	7.14184e-008
0.1	0.997608	0.666666	-4.29501e+008	-96	7.3231e-008
0.11	0.997608	0.666666	-4.29501e+008	-52.8926	5.79137e-008
0.12	0.997623	0.666666	-4.29501e+008	-88.8889	5.32661e-008
0.13	0.997623	0.666666	-4.29501e+008	-37.8698	5.64964e-008
0.14	0.997623	0.666666	-4.29501e+008	-65.3061	4.90588e-008
0.15	0.997593	0.666666	-4.29501e+008	-42.6667	4.8646e-008
0.16	0.997593	0.666666	-4.29501e+008	-37.5	3.96519e-008
0.17	0.997623	0.666666	-4.29501e+008	-22.1453	3.75996e-008
0.18	0.997608	0.666666	-4.29501e+008	-39.5062	4.333e-008
0.19	0.997654	0.666666	-4.29501e+008	-26.5928	3.37922e-008
0.2	0.997593	0.666666	-4.29501e+008	-16	3.8866e-008
0.21	0.997623	0.666666	-4.29501e+008	-14.5125	3.27059e-008
0.22	0.997593	0.666666	-4.29501e+008	-13.2231	3.10028e-008
0.23	0.997623	0.666666	-4.29501e+008	-18.1474	2.98619e-008
0.24	0.997654	0.666666	-4.29501e+008	-16.6667	2.87367e-008
0.25	0.997654	0.666666	-4.29501e+008	-20.48	2.56821e-008
0.26	0.997623	0.666666	-4.29501e+008	-9.46746	2.64163e-008
0.27	0.997593	0.666666	-4.29501e+008	-8.77915	2.70256e-008
0.28	0.997639	0.666666	-4.29501e+008	-12.2449	2.4589e-008
0.29	0.997546	0.666666	-4.29501e+008	-15.22	2.8077e-008
0.3	0.997623	0.666666	-4.29501e+008	-10.6667	2.28941e-008
0.31	0.99767	0.666666	-4.29501e+008	-9.98959	2.07344e-008
0.32	0.99767	0.666666	-4.29501e+008	-9.375	1.8598e-008
0.33	0.99767	0.666666	-4.29501e+008	-8.81543	1.80344e-008
0.34	0.997608	0.666666	-4.29501e+008	-8.3045	2.01377e-008
0.35	0.997623	0.666666	-4.29501e+008	-5.22449	1.96235e-008
0.36	0.99767	0.666666	-4.29501e+008	-7.40741	1.78546e-008
0.37	0.99767	0.666666	-4.29501e+008	-7.01242	1.60848e-008
0.38	0.997593	0.666666	-4.29501e+008	-6.6482	2.17092e-008
0.39	0.997608	0.666666	-4.29501e+008	-6.31164	1.87772e-008
0.4	0.997623	0.666666	-4.29501e+008	-8	1.71706e-008
0.41	0.99767	0.666666	-4.29501e+008	-5.71089	1.45155e-008
0.42	0.997623	0.666666	-4.29501e+008	-1.81406	1.63529e-008
0.43	0.997623	0.666666	-4.29501e+008	-3.46133	1.59726e-008
0.44	0.997639	0.666666	-4.29501e+008	-4.95868	1.4565e-008
0.45	0.99767	0.666666	-4.29501e+008	-4.74074	1.42837e-008
0.46	0.99767	0.666666	-4.29501e+008	-4.53686	1.39732e-008
0.47	0.997608	0.666666	-4.29501e+008	-5.79448	1.55811e-008
0.48	0.997593	0.666665	-4.29501e+008	-4.16667	1.81788e-008
0.49	0.99767	0.666666	-4.29501e+008	-3.99833	1.31177e-008
0.5	0.997654	0.666666	-4.29501e+008	-3.84	1.37936e-008
0.51	0.997593	0.666666	-4.29501e+008	-3.69089	1.33737e-008
0.52	0.997593	0.666666	-4.29501e+008	-3.5503	1.31166e-008
0.53	0.997623	0.666666	-4.29501e+008	-3.41759	1.29589e-008
0.54	0.997577	0.666666	-4.29501e+008	-3.29218	1.43375e-008
0.55	0.997654	0.666666	-4.29501e+008	-3.17355	1.08077e-008
0.56	0.99767	0.666666	-4.29501e+008	-4.08163	1.06274e-008
0.57	0.997685	0.666666	-4.29501e+008	-3.93967	1.04452e-008
0.58	0.997639	0.666666	-4.29501e+008	-2.85375	1.18705e-008
0.59	0.997639	0.666666	-4.29501e+008	-2.75783	1.00548e-008
0.6	0.997639	0.666666	-4.29501e+008	-2.66667	1.0681e-008
0.61	0.997577	0.666666	-4.29501e+008	-1.71997	1.26922e-008
0.62	0.997654	0.666666	-4.29501e+008	-2.4974	1.03557e-008
0.63	0.99767	0.666666	-4.29501e+008	-2.41875	1.02026e-008
0.64	0.997623	0.666666	-4.29501e+008	-3.125	1.14758e-008
0.65	0.997639	0.666666	-4.29501e+008	-2.27219	9.8594e-009
0.66	0.997623	0.666666	-4.29501e+008	-2.20386	9.68475e-009
0.67	0.997654	0.666666	-4.29501e+008	-2.13856	8.87196e-009
0.68	0.997623	0.666666	-4.29501e+008	-1.38408	1.01003e-008
0.69	0.997623	0.666666	-4.29501e+008	-2.01638	1.06443e-008
0.7	0.997654	0.666666	-4.29501e+008	-1.95918	9.85259e-009
0.71	0.997654	0.666666	-4.29501e+008	-1.90438	8.37214e-009
0.72	0.997654	0.666666	-4.29501e+008	-1.23457	8.25586e-009
0.73	0.997562	0.666666	-4.29501e+008	-1.80146	8.59949e-009
0.74	0.997623	0.666666	-4.29501e+008	-1.7531	8.63775e-009
0.75	0.997623	0.666666	-4.29501e+008	-1.70667	9.15765e-009
0.76	0.997608	0.666666	-4.29501e+008	-1.66205	9.00895e-009
0.77	0.997639	0.666666	-4.29501e+008	-2.15888	8.32287e-009
0.78	0.997639	0.666666	-4.29501e+008	-1.57791	8.8268e-009
0.79	0.997608	0.666666	-4.29501e+008	-1.02548	8.66684e-009
0.8	0.997623	0.666666	-4.29501e+008	-1.5	7.98992e-009
0.81	0.997593	0.666665	-4.29501e+008	-1.95092	1.07726e-008
0.82	0.997562	0.666666	-4.29501e+008	-1.42772	8.81735e-009
0.83	0.997546	0.666666	-4.29501e+008	-0.929017	9.23619e-009
0.84	0.997639	0.666666	-4.29501e+008	-1.81406	7.62929e-009
0.85	0.997546	0.666666	-4.29501e+008	-0.442907	9.57922e-009
0.86	0.997577	0.666666	-4.29501e+008	-0.865333	8.44878e-009
0.87	0.997577	0.666666	-4.29501e+008	-0.845554	8.35166e-009
0.88	0.997562	0.666666	-4.29501e+008	-0.826446	8.75741e-009
0.89	0.997623	0.666666	-4.29501e+008	-1.21197	7.18195e-009
0.9	0.997608	0.666666	-4.29501e+008	-1.18519	8.666e-009
0.91	0.997623	0.666666	-4.29501e+008	-1.15928	7.54751e-009
0.92	0.997577	0.666666	-4.29501e+008	-0.378072	7.38005e-009
0.93	0.997593	0.666666	-4.29501e+008	-1.10995	7.33399e-009
0.94	0.997639	0.666666	-4.29501e+008	-1.08646	7.32437e-009
0.95	0.997593	0.666666	-4.29501e+008	-0.709141	8.68369e-009
0.96	0.997608	0.666666	-4.29501e+008	-1.04167	8.62052e-009
0.97	0.997577	0.666666	-4.29501e+008	-1.3604	7.9817e-009
0.98	0.997577	0.666666	-4.29501e+008	-0.666389	7.90025e-009
0.99	0.997608	0.666666	-4.29501e+008	-1.30599	8.35929e-009
1	0.997608	0.666666	-4.29501e+008	-0.64	7.3231e-009
1.01	0.997423	0.666665	-4.29501e+008	-0.627389	9.92919e-009
1.02	0.99767	0.666666	-4.29501e+008	-0.922722	5.83467e-009
1.03	0.997608	0.666666	-4.29501e+008	-0.904892	6.64738e-009
1.04	0.997608	0.666666	-4.29501e+008	-0.887574	7.49942e-009
1.05	0.997593	0.666666	-4.29501e+008	-0.580499	6.94943e-009
1.06	0.997608	0.666666	-4.29501e+008	-0.854397	7.35793e-009
1.07	0.997562	0.666666	-4.29501e+008	-0.559001	7.20236e-009
