Temp	Sublattice_Magnetism_Incorrect_Glauber	Sublattice_Magnetism_Incorrect_Glauber	Nope	Sublattice_Susceptibility_Incorrect_Glauber	Sublattice_Susceptibility_Incorrect_Glauber	Nope	Energy_Incorrect_Glauber	Heat_Capacity_Incorrect_Glauber	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect_Glauber	Prob1_Incorrect	Prob0_Incorrect	Prob_neg1_Incorrect
10	0.00166222	-0.000926667	0	0.000110319	0.000107214	0	-44.622	4.41153	0.441153	1.0986	0.251403	0.251036	0.497561
9.999	0.00211556	-0.00135778	0	0.000115002	0.000118789	0	-46.207	4.42367	0.442411	1.0986	0.251408	0.251029	0.497563
9.998	-0.00240889	0.00151111	0	0.000120643	0.000111624	0	-45.897	4.7411	0.474205	1.0986	0.251169	0.251618	0.497213
9.997	-0.00150889	-0.000255556	0	0.000126155	0.000108991	0	-45.831	4.91765	0.491913	1.0986	0.250788	0.25167	0.497542
9.996	0.000517778	-0.00072	0	0.000107821	9.7275e-005	0	-46.475	4.91248	0.491445	1.0986	0.251192	0.251293	0.497514
9.995	0.00200667	-0.000346667	0	0.000116796	0.000113516	0	-45.122	4.15983	0.416191	1.0986	0.251667	0.250837	0.497497
9.994	-0.000137778	-0.00125333	0	0.000113472	0.000120927	0	-45.753	4.81668	0.481957	1.0986	0.250999	0.251694	0.497307
9.993	0.00128667	-0.00149778	0	0.000113248	0.000113796	0	-46.258	4.76897	0.477231	1.0986	0.251232	0.251338	0.49743
9.992	0.000468889	-0.00038	0	0.000115214	0.000112591	0	-44.866	4.57702	0.458069	1.0986	0.251226	0.251181	0.497593
9.991	0.000173333	-0.00279333	0	0.00011675	0.000116344	0	-44.953	4.63984	0.464402	1.0986	0.250713	0.252023	0.497263
9.99	-0.00244667	0.00105778	0	0.000123154	0.000112795	0	-45.538	4.95128	0.495624	1.09859	0.250808	0.251502	0.49769
9.989	-0.000931111	-0.000664444	0	0.000120013	0.000104668	0	-45.805	4.7802	0.478546	1.09859	0.250756	0.251553	0.497691
9.988	0.00246	-0.0019	0	0.00011203	0.000119178	0	-45.036	4.59723	0.460276	1.09859	0.251342	0.251062	0.497596
9.987	-0.00144222	0.000144444	0	0.000115019	0.000116606	0	-44.63	4.79461	0.480085	1.09859	0.250948	0.251597	0.497456
9.986	-0.000584444	-0.00172222	0	0.00011779	0.000122469	0	-45.338	4.7253	0.473192	1.09859	0.25065	0.251803	0.497547
9.985	0.000148889	0.000713333	0	0.000111126	0.000116738	0	-44.766	4.73589	0.4743	1.09859	0.25142	0.250989	0.497591
9.984	0.0001	-0.000471111	0	0.000115976	0.000117045	0	-47.063	4.74982	0.475743	1.09859	0.251203	0.251389	0.497408
9.983	-0.00058	-0.002	0	0.000121204	0.000112453	0	-46.267	4.623	0.463087	1.09859	0.250512	0.251802	0.497686
9.982	0.00117556	-0.00190889	0	0.000120315	0.000118466	0	-45.212	4.53008	0.453825	1.09859	0.251098	0.251464	0.497438
9.981	0.00189778	-0.000486667	0	0.000111235	0.000112521	0	-46.453	4.6989	0.470784	1.09859	0.25179	0.251084	0.497126
9.98	0.000722222	-5.77778e-005	0	0.000116388	0.000114081	0	-45.001	4.37574	0.43845	1.09859	0.251354	0.251022	0.497623
9.979	-0.00155556	0.000486667	0	0.000113226	0.00011509	0	-46.078	4.65875	0.466855	1.09859	0.251019	0.251553	0.497428
9.978	0.000864444	-0.000462222	0	0.000121865	0.000122423	0	-46.218	4.27246	0.428188	1.09859	0.251464	0.251263	0.497272
9.977	0.00125556	-0.00205111	0	0.000110677	0.000113428	0	-46.267	4.79316	0.480421	1.09859	0.251079	0.251477	0.497444
9.976	-0.00106444	0.000635556	0	0.000118067	0.000113326	0	-46.303	4.87872	0.489046	1.09859	0.251073	0.251288	0.497639
9.975	0.000531111	-0.00128889	0	0.000111396	0.000112181	0	-46.62	4.64962	0.466127	1.09859	0.251111	0.25149	0.497399
9.974	-0.000753333	-0.000424444	0	0.000109222	0.000107783	0	-45.569	4.45097	0.446257	1.09859	0.250998	0.251587	0.497416
9.973	0.000617778	-0.00112444	0	0.000119272	0.000109094	0	-45.502	4.25014	0.426165	1.09859	0.25114	0.251393	0.497467
9.972	-9.11111e-005	-0.000382222	0	0.000119294	0.000127303	0	-45.844	4.91788	0.493169	1.09859	0.251149	0.251386	0.497466
