Temp	Magnetism_1	Magnetism_2	Susceptibility_1	Susceptibility_2	Energy	Heat_Capacity	Heat_Capacity/Temp	Entropy	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
0.001	-0.999911	0.999911	0.000190493	0.000190493	-1799.72	1.89016e+006	1.89016e+009	0	0	0	0.499955	8.93111e-005	0.499955	0	0
0.002	-0.999903	0.999903	0.000103204	0.000103204	-1799.69	512018	2.56009e+008	2100.18	0	0	0.499951	9.71284e-005	0.499951	0	0
0.003	-0.999876	0.999876	8.64781e-005	8.64781e-005	-1799.61	286026	9.53418e+007	2384.64	0	0	0.499938	0.000123622	0.499938	0	0
0.004	-0.99987	0.99987	6.78099e-005	6.78099e-005	-1799.59	168210	4.20524e+007	2490.57	0	0	0.499935	0.000129617	0.499935	0	0
0.005	-0.999901	0.999901	4.22031e-005	4.22031e-005	-1799.69	83751.3	1.67503e+007	2537.3	0	0	0.49995	9.94025e-005	0.49995	0	0
0.006	-0.999791	0.999791	7.00519e-005	7.00519e-005	-1799.34	115848	1.93079e+007	2555.91	0	0	0.499896	0.000208748	0.499896	0	0
0.007	-0.999871	0.999871	3.85884e-005	3.85884e-005	-1799.59	54698.9	7.81412e+006	2577.36	0	0	0.499935	0.000129047	0.499935	0	0
0.008	-0.999911	0.999911	2.37751e-005	2.37751e-005	-1799.72	29488.4	3.68605e+006	2586.04	0	0	0.499955	8.91679e-005	0.499955	0	0
0.009	-0.999872	0.999872	2.979e-005	2.979e-005	-1799.6	32843.4	3.64926e+006	2590.14	0	0	0.499936	0.000128025	0.499936	0	0
0.01	-0.999904	0.999904	2.03125e-005	2.03125e-005	-1799.7	20155	2.0155e+006	2594.19	0	0	0.499952	9.55111e-005	0.499952	0	0
0.011	-0.999885	0.999885	2.20235e-005	2.20235e-005	-1799.64	19866.1	1.80601e+006	2596.43	0	0	0.499943	0.000114963	0.499943	0	0
0.012	-0.999872	0.999872	2.4967e-005	2.4967e-005	-1799.6	20644.4	1.72037e+006	2598.44	0	0	0.499936	0.000128163	0.499936	0	0
0.013	-0.999842	0.999842	2.61404e-005	2.61404e-005	-1799.5	19952	1.53477e+006	2600.35	0	0	0.499921	0.000158254	0.499921	0	0
0.014	-0.999884	0.999884	1.91281e-005	1.91281e-005	-1799.64	13557	968355	2602.06	0	0	0.499942	0.000115872	0.499942	0	0
0.015	-0.999878	0.999878	1.8416e-005	1.8416e-005	-1799.62	12182.1	812142	2603.13	0	0	0.499939	0.000122064	0.499939	0	0
0.016	-0.999856	0.999856	2.0444e-005	2.0444e-005	-1799.55	12678.4	792401	2604.04	0	0	0.499928	0.000143914	0.499928	0	0
0.017	-0.999863	0.999863	1.67578e-005	1.67578e-005	-1799.57	9781.1	575359	2604.92	0	0	0.499932	0.000136593	0.499932	0	0
0.018	-0.999942	0.999942	8.55862e-006	8.55862e-006	-1799.82	4717.94	262108	2605.55	0	0	0.499971	5.77802e-005	0.499971	0	0
0.019	-0.999853	0.999853	1.85244e-005	1.85244e-005	-1799.54	9674.06	509161	2605.85	0	0	0.499926	0.000147444	0.499926	0	0
0.02	-0.999865	0.999865	1.41091e-005	1.41091e-005	-1799.57	6999.82	349991	2606.41	0	0	0.499932	0.000135207	0.499932	0	0
0.021	-0.999946	0.999946	7.3165e-006	7.3165e-006	-1799.83	3457.03	164620	2606.8	0	0	0.499973	5.3521e-005	0.499973	0	0
0.022	-0.999908	0.999908	8.93545e-006	8.93545e-006	-1799.71	4030.08	183185	2606.98	0	0	0.499954	9.22938e-005	0.499954	0	0
0.023	-0.99988	0.99988	1.09616e-005	1.09616e-005	-1799.62	4728.94	205606	2607.19	0	0	0.49994	0.000119923	0.49994	0	0
0.024	-0.999936	0.999936	5.78783e-006	5.78783e-006	-1799.8	2392.89	99703.7	2607.42	0	0	0.499968	6.43728e-005	0.499968	0	0
0.025	-0.999928	0.999928	7.57118e-006	7.57118e-006	-1799.77	3004.98	120199	2607.53	0	0	0.499964	7.19704e-005	0.499964	0	0
0.026	-0.999838	0.999838	1.28167e-005	1.28167e-005	-1799.49	4891.25	188125	2607.66	0	0	0.499919	0.000161723	0.499919	0	0
0.027	-0.999889	0.999889	8.67164e-006	8.67164e-006	-1799.65	3186.81	118030	2607.87	0	0	0.499945	0.000110894	0.499945	0	0
0.028	-0.999831	0.999831	1.23733e-005	1.23733e-005	-1799.47	4384.76	156599	2608	0	0	0.499916	0.000168711	0.499916	0	0
0.029	-0.999919	0.999919	6.00243e-006	6.00243e-006	-1799.74	2053.75	70819.1	2608.17	0	0	0.499959	8.13062e-005	0.499959	0	0
0.03	-0.999864	0.999864	1.08051e-005	1.08051e-005	-1799.57	3573.76	119125	2608.25	0	0	0.499932	0.000135711	0.499932	0	0
0.031	-0.999925	0.999925	5.20135e-006	5.20135e-006	-1799.76	1664.84	53704.7	2608.39	0	0	0.499962	7.50963e-005	0.499962	0	0
0.032	-0.999939	0.999939	4.09051e-006	4.09051e-006	-1799.81	1268.37	39636.6	2608.44	0	0	0.49997	6.05531e-005	0.49997	0	0
0.033	-0.999832	0.999832	1.06818e-005	1.06818e-005	-1799.47	3211.82	97327.9	2608.49	0	0	0.499916	0.000168264	0.499916	0	0
0.034	-0.999918	0.999918	5.17787e-006	5.17787e-006	-1799.74	1511.1	44444	2608.6	0	0	0.499959	8.22667e-005	0.499959	0	0
0.035	-0.999864	0.999864	8.11213e-006	8.11213e-006	-1799.57	2299.78	65708	2608.65	0	0	0.499932	0.000136101	0.499932	0	0
0.036	-0.999882	0.999882	8.30617e-006	8.30617e-006	-1799.63	2289.38	63593.9	2608.72	0	0	0.499941	0.000118249	0.499941	0	0
0.037	-0.99982	0.99982	1.17771e-005	1.17771e-005	-1799.43	3158.31	85359.9	2608.79	0	0	0.49991	0.000180314	0.49991	0	0
0.038	-0.999939	0.999939	4.38195e-006	4.38195e-006	-1799.81	1144.2	30110.6	2608.88	0	0	0.499969	6.12148e-005	0.499969	0	0
0.039	-0.999902	0.999902	5.36103e-006	5.36103e-006	-1799.69	1363.96	34973.4	2608.92	0	0	0.499951	9.84469e-005	0.499951	0	0
0.04	-0.999937	0.999937	3.4057e-006	3.4057e-006	-1799.8	844.824	21120.6	2608.96	0	0	0.499968	6.30938e-005	0.499968	0	0
0.041	-0.999926	0.999926	4.50914e-006	4.50914e-006	-1799.77	1091.26	26616.2	2608.98	0	0	0.499963	7.37654e-005	0.499963	0	0
0.042	-0.999907	0.999907	4.7103e-006	4.7103e-006	-1799.71	1112.8	26495.3	2609.01	0	0	0.499954	9.29086e-005	0.499954	0	0
0.043	-0.999818	0.999818	8.71421e-006	8.71421e-006	-1799.43	2010.85	46763.9	2609.04	0	0	0.499909	0.000181928	0.499909	0	0
0.044	-0.999877	0.999877	5.87265e-006	5.87265e-006	-1799.61	1324.34	30098.6	2609.09	0	0	0.499938	0.000123096	0.499938	0	0
0.045	-0.999926	0.999926	3.52254e-006	3.52254e-006	-1799.77	776.712	17260.3	2609.13	0	0	0.499963	7.37802e-005	0.499963	0	0
