Temp	Magnetism_1_Correct	Magnetism_2_Correct	Susceptibility_1_Correct	Susceptibility_2_Correct	Energy_Correct	Heat_Capacity_Correct	Heat_Capacity/Temp_Correct	Entropy_Correct	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
0.5	-0.999878	0.999878	5.34085e-007	5.34085e-007	-1799.62	10.5989	21.1978	0	0	0	0.499939	0.000122136	0.499939	0	0
0.501	-0.999937	0.999937	2.70807e-007	2.70807e-007	-1799.8	5.36342	10.7054	2.35531e-005	0	0	0.499969	6.28296e-005	0.499969	0	0
0.502	-0.999914	0.999914	3.65373e-007	3.65373e-007	-1799.73	7.22191	14.3863	3.5448e-005	0	0	0.499957	8.58543e-005	0.499957	0	0
0.503	-0.999844	0.999844	6.62633e-007	6.62633e-007	-1799.51	13.0713	25.9868	5.14327e-005	0	0	0.499922	0.000155733	0.499922	0	0
0.504	-0.999897	0.999897	4.34017e-007	4.34017e-007	-1799.67	8.54464	16.9537	8.03069e-005	0	0	0.499948	0.00010323	0.499948	0	0
0.505	-0.999898	0.999898	4.42385e-007	4.42385e-007	-1799.68	8.69216	17.2122	9.91443e-005	0	0	0.499949	0.000101775	0.499949	0	0
0.506	-0.999907	0.999907	4.0987e-007	4.0987e-007	-1799.71	8.03736	15.8841	0.000118269	0	0	0.499953	9.33951e-005	0.499953	0	0
0.507	-0.999852	0.999852	6.06024e-007	6.06024e-007	-1799.53	11.8604	23.3933	0.000135918	0	0	0.499926	0.000148138	0.499926	0	0
0.508	-0.999937	0.999937	2.67362e-007	2.67362e-007	-1799.8	5.2222	10.2799	0.000161911	0	0	0.499969	6.28988e-005	0.499969	0	0
0.509	-0.999876	0.999876	5.10991e-007	5.10991e-007	-1799.61	9.96121	19.5702	0.000173333	0	0	0.499938	0.000123956	0.499938	0	0
0.51	-0.999831	0.999831	6.81127e-007	6.81127e-007	-1799.47	13.2518	25.984	0.000195077	0	0	0.499916	0.000168775	0.499916	0	0
0.511	-0.999937	0.999937	2.66724e-007	2.66724e-007	-1799.8	5.17916	10.1353	0.000223948	0	0	0.499968	6.31259e-005	0.499968	0	0
0.512	-0.999877	0.999877	5.0328e-007	5.0328e-007	-1799.61	9.75343	19.0497	0.00023521	0	0	0.499939	0.000122733	0.499939	0	0
0.513	-0.999882	0.999882	5.41878e-007	5.41878e-007	-1799.63	10.481	20.4307	0.000256376	0	0	0.499941	0.000118054	0.499941	0	0
0.514	-0.999858	0.999858	6.03367e-007	6.03367e-007	-1799.55	11.6477	22.6608	0.000279077	0	0	0.499929	0.000142249	0.499929	0	0
0.515	-0.99986	0.99986	5.89224e-007	5.89224e-007	-1799.56	11.3525	22.0437	0.000304256	0	0	0.49993	0.00014044	0.49993	0	0
0.516	-0.999878	0.999878	4.958e-007	4.958e-007	-1799.62	9.53401	18.4768	0.000328749	0	0	0.499939	0.0001218	0.499939	0	0
0.517	-0.999882	0.999882	4.87011e-007	4.87011e-007	-1799.63	9.3469	18.0791	0.000349278	0	0	0.499941	0.000117622	0.499941	0	0
0.518	-0.999974	0.999974	1.09098e-007	1.09098e-007	-1799.92	2.0898	4.03436	0.000369366	0	0	0.499987	2.57284e-005	0.499987	0	0
0.519	-0.9999	0.9999	4.70017e-007	4.70017e-007	-1799.69	8.98593	17.3139	0.000373849	0	0	0.49995	9.9837e-005	0.49995	0	0
0.52	-0.999919	0.999919	3.33047e-007	3.33047e-007	-1799.75	6.35512	12.2214	0.000393087	0	0	0.49996	8.08765e-005	0.49996	0	0
0.521	-0.999908	0.999908	3.75749e-007	3.75749e-007	-1799.71	7.15614	13.7354	0.000406666	0	0	0.499954	9.18938e-005	0.499954	0	0
0.522	-0.999907	0.999907	4.35588e-007	4.35588e-007	-1799.71	8.2799	15.8619	0.000421927	0	0	0.499953	9.33358e-005	0.499953	0	0
0.523	-0.999912	0.999912	3.7095e-007	3.7095e-007	-1799.72	7.03774	13.4565	0.000439552	0	0	0.499956	8.81259e-005	0.499956	0	0
0.524	-0.999874	0.999874	5.03151e-007	5.03151e-007	-1799.6	9.52766	18.1826	0.000454503	0	0	0.499937	0.000125681	0.499937	0	0
0.525	-0.999953	0.999953	1.96637e-007	1.96637e-007	-1799.85	3.71641	7.07888	0.000474706	0	0	0.499976	4.74691e-005	0.499976	0	0
0.526	-0.999889	0.999889	4.45516e-007	4.45516e-007	-1799.65	8.40422	15.9776	0.000482572	0	0	0.499945	0.000110998	0.499945	0	0
0.527	-0.999897	0.999897	4.1292e-007	4.1292e-007	-1799.68	7.77453	14.7524	0.000500325	0	0	0.499949	0.000102667	0.499949	0	0
0.528	-0.999891	0.999891	4.64445e-007	4.64445e-007	-1799.66	8.72812	16.5305	0.000516716	0	0	0.499945	0.000109331	0.499945	0	0
0.529	-0.99983	0.99983	6.5848e-007	6.5848e-007	-1799.47	12.3511	23.348	0.000535083	0	0	0.499915	0.000169711	0.499915	0	0
0.53	-0.999855	0.999855	6.40893e-007	6.40893e-007	-1799.54	11.9985	22.6387	0.000561026	0	0	0.499928	0.000144625	0.499928	0	0
0.531	-0.999898	0.999898	4.07165e-007	4.07165e-007	-1799.68	7.6084	14.3284	0.00058618	0	0	0.499949	0.00010197	0.499949	0	0
0.532	-0.999921	0.999921	3.18769e-007	3.18769e-007	-1799.75	5.94545	11.1757	0.0006021	0	0	0.49996	7.91309e-005	0.49996	0	0
0.533	-0.999792	0.999792	8.48493e-007	8.48493e-007	-1799.35	15.7958	29.6356	0.000614518	0	0	0.499896	0.000207862	0.499896	0	0
0.534	-0.999873	0.999873	5.94021e-007	5.94021e-007	-1799.6	11.0377	20.6699	0.000647446	0	0	0.499936	0.000127232	0.499936	0	0
