Temp	Magnetism_1_Incorrect	Magnetism_2_Incorrect	Susceptibility_1_Incorrect	Susceptibility_2_Incorrect	Energy_Incorrect	Heat_Capacity_Incorrect	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
0.5	-0.999648	0.999648	1.64971e-006	1.64971e-006	-1798.89	32.7385	65.4769	0	0	0	0.499824	0.000351578	0.499824	0	0
0.501	-0.999748	0.999748	1.11292e-006	1.11292e-006	-1799.21	22.0417	43.9955	7.27521e-005	0	0	0.499874	0.000251511	0.499874	0	0
0.502	-0.999857	0.999857	5.94026e-007	5.94026e-007	-1799.55	11.7414	23.3892	0.000121636	0	0	0.499928	0.000143449	0.499928	0	0
0.503	-0.999757	0.999757	1.07346e-006	1.07346e-006	-1799.23	21.1757	42.0988	0.000147624	0	0	0.499878	0.000243267	0.499878	0	0
0.504	-0.999696	0.999696	1.27236e-006	1.27236e-006	-1799.04	24.7953	49.197	0.0001944	0	0	0.499849	0.000301793	0.499849	0	0
0.505	-0.999819	0.999819	7.32212e-007	7.32212e-007	-1799.43	14.3868	28.4887	0.000249064	0	0	0.499909	0.000181163	0.499909	0	0
0.506	-0.999844	0.999844	6.84675e-007	6.84675e-007	-1799.51	13.4262	26.534	0.000280718	0	0	0.499922	0.000156025	0.499922	0	0
0.507	-0.999745	0.999745	1.16173e-006	1.16173e-006	-1799.2	22.7362	44.8445	0.0003102	0	0	0.499873	0.000254943	0.499873	0	0
0.508	-0.999774	0.999774	1.01616e-006	1.01616e-006	-1799.29	19.8481	39.071	0.000360027	0	0	0.499887	0.000225738	0.499887	0	0
0.509	-0.999757	0.999757	1.01045e-006	1.01045e-006	-1799.23	19.6864	38.6766	0.000403439	0	0	0.499879	0.000242965	0.499879	0	0
0.51	-0.999779	0.999779	9.00238e-007	9.00238e-007	-1799.3	17.5148	34.3428	0.000446414	0	0	0.49989	0.000220681	0.49989	0	0
0.511	-0.99981	0.99981	8.89954e-007	8.89954e-007	-1799.4	17.2808	33.8177	0.000484572	0	0	0.499905	0.00019016	0.499905	0	0
0.512	-0.999737	0.999737	1.12583e-006	1.12583e-006	-1799.17	21.8184	42.614	0.000522147	0	0	0.499869	0.000262884	0.499869	0	0
0.513	-0.999806	0.999806	7.90587e-007	7.90587e-007	-1799.39	15.2915	29.8079	0.000569496	0	0	0.499903	0.000193904	0.499903	0	0
0.514	-0.999862	0.999862	6.22776e-007	6.22776e-007	-1799.56	12.0223	23.3897	0.000602616	0	0	0.499931	0.000138338	0.499931	0	0
0.515	-0.999798	0.999798	9.92928e-007	9.92928e-007	-1799.37	19.1307	37.1469	0.000628605	0	0	0.499899	0.000201563	0.499899	0	0
0.516	-0.999731	0.999731	1.33735e-006	1.33735e-006	-1799.15	25.7166	49.8384	0.000669879	0	0	0.499865	0.000269012	0.499865	0	0
0.517	-0.999702	0.999702	1.13191e-006	1.13191e-006	-1799.06	21.7239	42.0192	0.000725255	0	0	0.499851	0.000298499	0.499851	0	0
0.518	-0.999759	0.999759	1.05674e-006	1.05674e-006	-1799.24	20.2422	39.0776	0.000771943	0	0	0.499879	0.000241296	0.499879	0	0
0.519	-0.999778	0.999778	1.10217e-006	1.10217e-006	-1799.3	21.0719	40.6009	0.000815363	0	0	0.499889	0.000222321	0.499889	0	0
0.52	-0.999806	0.999806	7.57473e-007	7.57473e-007	-1799.39	14.4538	27.7957	0.000860475	0	0	0.499903	0.000194222	0.499903	0	0
0.521	-0.999787	0.999787	9.05586e-007	9.05586e-007	-1799.33	17.2469	33.1034	0.000891359	0	0	0.499893	0.000213086	0.499893	0	0
0.522	-0.999892	0.999892	4.37769e-007	4.37769e-007	-1799.66	8.32134	15.9413	0.000928141	0	0	0.499946	0.000108089	0.499946	0	0
0.523	-0.999759	0.999759	9.53353e-007	9.53353e-007	-1799.24	18.0871	34.5834	0.000945853	0	0	0.49988	0.000240716	0.49988	0	0
0.524	-0.999781	0.999781	9.13197e-007	9.13197e-007	-1799.31	17.2923	33.0005	0.000984279	0	0	0.49989	0.000219427	0.49989	0	0
0.525	-0.99984	0.99984	6.31236e-007	6.31236e-007	-1799.5	11.9303	22.7244	0.00102095	0	0	0.49992	0.000159847	0.49992	0	0
0.526	-0.999764	0.999764	9.98838e-007	9.98838e-007	-1799.26	18.842	35.8213	0.0010462	0	0	0.499882	0.000235988	0.499882	0	0
0.527	-0.999768	0.999768	9.41046e-007	9.41046e-007	-1799.27	17.7182	33.6208	0.001086	0	0	0.499884	0.000231652	0.499884	0	0
0.528	-0.999721	0.999721	1.20401e-006	1.20401e-006	-1799.12	22.6264	42.853	0.00112335	0	0	0.499861	0.000278514	0.499861	0	0
0.529	-0.999774	0.999774	9.30379e-007	9.30379e-007	-1799.29	17.4512	32.989	0.00117097	0	0	0.499887	0.000225593	0.499887	0	0
0.53	-0.999754	0.999754	1.13796e-006	1.13796e-006	-1799.22	21.3044	40.197	0.00120762	0	0	0.499877	0.000246136	0.499877	0	0
0.531	-0.99981	0.99981	8.0386e-007	8.0386e-007	-1799.4	15.0212	28.2886	0.00125229	0	0	0.499905	0.000189548	0.499905	0	0
0.532	-0.999789	0.999789	8.68444e-007	8.68444e-007	-1799.34	16.1975	30.4465	0.00128372	0	0	0.499895	0.000210958	0.499895	0	0
0.533	-0.999609	0.999609	1.59421e-006	1.59421e-006	-1798.69	32.9202	61.764	0.00131755	0	0	0.499804	0.00039137	0.499804	0	0
0.534	-0.997597	0.997597	7.6473e-007	7.6473e-007	-1791.43	14.2089	26.6085	0.00138617	0	0	0.498799	0.00240253	0.498799	0	0
0.535	-0.997406	0.997406	1.3696e-006	1.3696e-006	-1790.83	25.4009	47.4783	0.00141574	0	0	0.498703	0.00259426	0.498703	0	0
0.536	-0.997559	0.997559	9.00137e-007	9.00137e-007	-1791.31	16.6626	31.087	0.00146849	0	0	0.498779	0.00244111	0.498779	0	0
0.537	-0.997592	0.997592	9.03941e-007	9.03941e-007	-1791.42	16.7019	31.1022	0.00150303	0	0	0.498796	0.00240787	0.498796	0	0
0.538	-0.997485	0.997485	1.39976e-006	1.39976e-006	-1791.08	25.7861	47.9296	0.00153759	0	0	0.498743	0.00251486	0.498743	0	0
0.539	-0.997591	0.997591	7.06093e-007	7.06093e-007	-1791.41	12.9977	24.1144	0.00159085	0	0	0.498795	0.00240921	0.498795	0	0
0.54	-0.997546	0.997546	9.42341e-007	9.42341e-007	-1791.27	17.3147	32.0642	0.00161764	0	0	0.498773	0.00245426	0.498773	0	0
0.541	-0.997522	0.997522	1.12865e-006	1.12865e-006	-1791.2	20.2802	37.4865	0.00165327	0	0	0.498761	0.00247759	0.498761	0	0
