Temperature	Magnetism_One	Magntism_Two	Susceptibility_One	Susceptibility_Two	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob_S3	Prob_S2	Prob_S1	Prob_S0	Prob_S-1	Prob_S-2	Prob_S-3	
0.01	2.99976	2.99976	4.79724e-005	4.79724e-005	-16197.5	513897	5.13897e+007	0	0.499879	0.000121148	0	0	0	0.000121148	0.499879
0.02	2.99999	2.99999	1.39939e-006	1.39939e-006	-16199.9	7495.28	374764	570.997	0.499994	6.33333e-006	0	0	0	6.33333e-006	0.499994
0.03	2.99997	2.99997	2.31845e-006	2.31845e-006	-16199.7	8278.68	275956	575.161	0.499984	1.58765e-005	0	0	0	1.58765e-005	0.499984
0.04	2.99989	2.99989	5.76032e-006	5.76032e-006	-16198.9	15426.7	385667	578.227	0.499945	5.45185e-005	0	0	0	5.45185e-005	0.499945
0.05	3	3	0	0	-16200	0	0	582.513	0.5	0	0	0	0	0	0.5
0.06	2.99981	2.99981	6.54955e-006	6.54955e-006	-16198	11693.5	194892	582.513	0.499903	9.68642e-005	0	0	0	9.68642e-005	0.499903
0.07	2.99994	2.99994	1.99093e-006	1.99093e-006	-16199.3	3046.8	43525.7	584.678	0.499968	3.22963e-005	0	0	0	3.22963e-005	0.499968
0.08	2.99992	2.99992	2.18419e-006	2.18419e-006	-16199.2	2924.71	36558.9	585.162	0.499959	4.08148e-005	0	0	0	4.08148e-005	0.499959
0.09	2.99954	2.99954	9.00503e-006	9.00503e-006	-16195.2	10718.4	119093	585.568	0.49977	0.000229938	0	0	0	0.000229938	0.49977
0.1	2.99988	2.99988	2.47364e-006	2.47364e-006	-16198.8	2649.85	26498.5	586.891	0.499941	5.87654e-005	0	0	0	5.87654e-005	0.499941
0.11	2.99991	2.99991	1.73123e-006	1.73123e-006	-16199.1	1685.96	15326.9	587.185	0.499955	4.4642e-005	0	0	0	4.4642e-005	0.499955
0.12	2.99966	2.99966	5.39585e-006	5.39585e-006	-16196.4	4816.86	40140.5	587.356	0.499828	0.000172457	0	0	0	0.000172457	0.499828
0.13	2.99984	2.99984	2.4954e-006	2.4954e-006	-16198.4	2056.28	15817.5	587.802	0.499921	7.85432e-005	0	0	0	7.85432e-005	0.499921
0.14	2.99985	2.99985	2.24461e-006	2.24461e-006	-16198.4	1717.5	12267.8	587.978	0.499924	7.58889e-005	0	0	0	7.58889e-005	0.499924
0.15	2.99981	2.99981	2.60624e-006	2.60624e-006	-16198	1861.25	12408.3	588.114	0.499904	9.63086e-005	0	0	0	9.63086e-005	0.499904
0.16	2.99972	2.99972	3.37036e-006	3.37036e-006	-16197.1	2256.51	14103.2	588.252	0.499861	0.00013863	0	0	0	0.00013863	0.499861
0.17	2.99857	2.99857	2.23312e-005	2.23312e-005	-16185.2	14071.7	82774.4	588.408	0.499284	0.000716407	0	0	0	0.000716407	0.499284
0.18	2.99985	2.99985	1.75264e-006	1.75264e-006	-16198.4	1043.05	5794.73	589.328	0.499924	7.62099e-005	0	0	0	7.62099e-005	0.499924
0.19	3	3	0	0	-16200	0	0	589.393	0.5	0	0	0	0	0	0.5
0.2	2.9998	2.9998	2.45794e-006	2.45794e-006	-16198	1316.52	6582.58	589.393	0.499902	9.79012e-005	0	0	0	9.79012e-005	0.499902
0.21	2.99965	2.99965	3.11801e-006	3.11801e-006	-16196.4	1590.54	7573.98	589.466	0.499825	0.00017484	0	0	0	0.00017484	0.499825
0.22	2.99987	2.99987	1.20696e-006	1.20696e-006	-16198.7	587.7	2671.36	589.55	0.499937	6.3358e-005	0	0	0	6.3358e-005	0.499937
0.23	2.9998	2.9998	1.7514e-006	1.7514e-006	-16197.9	815.718	3546.6	589.58	0.4999	9.95556e-005	0	0	0	9.95556e-005	0.4999
0.24	2.99992	2.99992	6.73664e-007	6.73664e-007	-16199.2	300.689	1252.87	589.619	0.499962	3.76543e-005	0	0	0	3.76543e-005	0.499962
0.25	2.99985	2.99985	1.27061e-006	1.27061e-006	-16198.4	544.448	2177.79	589.633	0.499923	7.67778e-005	0	0	0	7.67778e-005	0.499923
0.26	2.99963	2.99963	2.62641e-006	2.62641e-006	-16196.2	1082.11	4161.95	589.657	0.499816	0.000184173	0	0	0	0.000184173	0.499816
0.27	2.99995	2.99995	3.66473e-007	3.66473e-007	-16199.5	145.4	538.517	589.703	0.499977	2.27284e-005	0	0	0	2.27284e-005	0.499977
0.28	2.99964	2.99964	2.40234e-006	2.40234e-006	-16196.3	919.095	3282.48	589.709	0.499819	0.000180753	0	0	0	0.000180753	0.499819
0.29	2.99959	2.99959	2.54701e-006	2.54701e-006	-16195.8	940.842	3244.28	589.746	0.499797	0.000203444	0	0	0	0.000203444	0.499797
0.3	2.99989	2.99989	7.50376e-007	7.50376e-007	-16198.9	267.941	893.138	589.782	0.499947	5.31975e-005	0	0	0	5.31975e-005	0.499947
0.31	2.99988	2.99988	8.38495e-007	8.38495e-007	-16198.7	289.75	934.677	589.792	0.499938	6.19383e-005	0	0	0	6.19383e-005	0.499938
0.32	3	3	0	0	-16200	0	0	589.802	0.5	0	0	0	0	0	0.5
0.33	2.99997	2.99997	2.18841e-007	2.18841e-007	-16199.7	71.039	215.27	589.802	0.499984	1.64938e-005	0	0	0	1.64938e-005	0.499984
0.34	2.99989	2.99989	6.84958e-007	6.84958e-007	-16198.9	215.809	634.733	589.804	0.499945	5.51358e-005	0	0	0	5.51358e-005	0.499945
0.35	2.99982	2.99982	1.0516e-006	1.0516e-006	-16198.1	321.857	919.591	589.812	0.49991	9.01235e-005	0	0	0	9.01235e-005	0.49991
0.36	2.99996	2.99996	2.14637e-007	2.14637e-007	-16199.6	63.8685	177.413	589.822	0.499982	1.76667e-005	0	0	0	1.76667e-005	0.499982
0.37	2.99959	2.99959	2.18938e-006	2.18938e-006	-16195.7	633.874	1713.17	589.824	0.499794	0.000206259	0	0	0	0.000206259	0.499794
0.38	2.99962	2.99962	1.83136e-006	1.83136e-006	-16196.1	516.266	1358.59	589.843	0.499811	0.000188593	0	0	0	0.000188593	0.499811
0.39	2.9999	2.9999	5.42105e-007	5.42105e-007	-16199	148.903	381.803	589.858	0.49995	4.98025e-005	0	0	0	4.98025e-005	0.49995
0.4	2.99998	2.99998	9.63544e-008	9.63544e-008	-16199.8	25.8046	64.5114	589.862	0.499991	8.74074e-006	0	0	0	8.74074e-006	0.499991
0.41	2.99977	2.99977	1.11397e-006	1.11397e-006	-16197.6	291.054	709.888	589.863	0.499885	0.00011458	0	0	0	0.00011458	0.499885
0.42	2.99999	2.99999	6.3407e-008	6.3407e-008	-16199.9	16.1724	38.5056	589.871	0.499994	6.02469e-006	0	0	0	6.02469e-006	0.499994
0.43	2.99968	2.99968	1.40166e-006	1.40166e-006	-16196.7	349.188	812.065	589.871	0.499842	0.000158111	0	0	0	0.000158111	0.499842
0.44	3	3	0	0	-16200	0	0	589.88	0.5	0	0	0	0	0	0.5
0.45	2.99966	2.99966	1.4373e-006	1.4373e-006	-16196.4	342.152	760.338	589.88	0.499828	0.000172222	0	0	0	0.000172222	0.499828
0.46	2.99987	2.99987	6.08411e-007	6.08411e-007	-16198.6	141.684	308.009	589.889	0.499933	6.70123e-005	0	0	0	6.70123e-005	0.499933
0.47	2.99985	2.99985	6.56389e-007	6.56389e-007	-16198.5	149.606	318.311	589.892	0.499926	7.43951e-005	0	0	0	7.43951e-005	0.499926
0.48	2.99994	2.99994	3.49067e-007	3.49067e-007	-16199.4	77.9026	162.297	589.896	0.499969	3.06173e-005	0	0	0	3.06173e-005	0.499969
0.49	2.9995	2.9995	1.75124e-006	1.75124e-006	-16194.9	382.856	781.338	589.897	0.499751	0.000248778	0	0	0	0.000248778	0.499751
