Temp	Magnetism_1	Magnetism_2	Susceptibility_1	Susceptibility_2	Energy	Heat_Capacity	Heat_Capacity/Temp	Entropy	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
0.001	-0.99985	0.99985	0.000315432	0.000315432	-1799.53	3.12985e+006	3.12985e+009	0	0	0	0.499925	0.000149731	0.499925	0	0
0.002	-0.999723	0.999723	0.000318003	0.000318003	-1799.13	1.57768e+006	7.88842e+008	3477.61	0	0	0.499861	0.000277462	0.499861	0	0
0.003	-0.999602	0.999602	0.000291982	0.000291982	-1798.75	965729	3.2191e+008	4354.1	0	0	0.499801	0.0003982	0.499801	0	0
0.004	-0.999836	0.999836	8.56436e-005	8.56436e-005	-1799.48	212448	5.31121e+007	4711.78	0	0	0.499918	0.000164358	0.499918	0	0
0.005	-0.999684	0.999684	0.000143882	0.000143882	-1799	285532	5.71064e+007	4770.8	0	0	0.499842	0.000316222	0.499842	0	0
0.006	-0.999868	0.999868	4.59836e-005	4.59836e-005	-1799.58	76044.8	1.26741e+007	4834.25	0	0	0.499934	0.000131995	0.499934	0	0
0.007	-0.999827	0.999827	5.06524e-005	5.06524e-005	-1799.45	71799.7	1.02571e+007	4848.33	0	0	0.499913	0.000173027	0.499913	0	0
0.008	-0.999764	0.999764	5.85295e-005	5.85295e-005	-1799.26	72594.6	9.07432e+006	4859.73	0	0	0.499882	0.000235706	0.499882	0	0
0.009	-0.999817	0.999817	4.32453e-005	4.32453e-005	-1799.42	47677.8	5.29753e+006	4869.81	0	0	0.499909	0.000182637	0.499909	0	0
0.01	-0.999692	0.999692	7.43135e-005	7.43135e-005	-1799.03	73737.3	7.37373e+006	4875.69	0	0	0.499846	0.000308037	0.499846	0	0
0.011	-0.999739	0.999739	4.9492e-005	4.9492e-005	-1799.18	44643.7	4.05852e+006	4883.89	0	0	0.499869	0.000261227	0.499869	0	0
0.012	-0.999849	0.999849	2.60938e-005	2.60938e-005	-1799.52	21576.2	1.79802e+006	4888.4	0	0	0.499924	0.000151193	0.499924	0	0
0.013	-0.999832	0.999832	2.72398e-005	2.72398e-005	-1799.47	20791.2	1.59932e+006	4890.39	0	0	0.499916	0.000168091	0.499916	0	0
0.014	-0.999778	0.999778	3.37905e-005	3.37905e-005	-1799.3	23948.9	1.71063e+006	4892.17	0	0	0.499889	0.000221889	0.499889	0	0
0.015	-0.997575	0.997575	3.16982e-005	3.16982e-005	-1791.36	20967.3	1.39782e+006	4894.07	0	0	0.498787	0.0024252	0.498787	0	0
0.016	-0.997608	0.997608	2.49421e-005	2.49421e-005	-1791.46	15467	966689	4895.63	0	0	0.498804	0.00239239	0.498804	0	0
0.017	-0.997485	0.997485	3.58927e-005	3.58927e-005	-1791.08	20948.9	1.23229e+006	4896.7	0	0	0.498743	0.00251476	0.498743	0	0
0.018	-0.997548	0.997548	3.18309e-005	3.18309e-005	-1791.28	17504.6	972478	4898.07	0	0	0.498774	0.00245228	0.498774	0	0
0.019	-0.997375	0.997375	4.13234e-005	4.13234e-005	-1790.73	21580	1.13579e+006	4899.15	0	0	0.498687	0.00262506	0.498687	0	0
0.02	-0.997544	0.997544	2.7836e-005	2.7836e-005	-1791.27	13809.5	690476	4900.41	0	0	0.498772	0.00245551	0.498772	0	0
0.021	-0.997519	0.997519	2.66765e-005	2.66765e-005	-1791.19	12604.1	600195	4901.18	0	0	0.49876	0.00248074	0.49876	0	0
0.022	-0.997547	0.997547	2.25422e-005	2.25422e-005	-1791.27	10103.4	459245	4901.85	0	0	0.498773	0.00245332	0.498773	0	0
0.023	-0.997509	0.997509	2.85963e-005	2.85963e-005	-1791.16	12262.9	533171	4902.36	0	0	0.498755	0.00249099	0.498755	0	0
0.024	-0.997576	0.997576	1.76606e-005	1.76606e-005	-1791.36	7301.11	304213	4902.95	0	0	0.498788	0.00242396	0.498788	0	0
0.025	-0.997345	0.997345	3.83382e-005	3.83382e-005	-1790.64	15216.1	608642	4903.29	0	0	0.498672	0.00265547	0.498672	0	0
0.026	-0.997449	0.997449	2.82899e-005	2.82899e-005	-1790.96	10796.1	415233	4903.96	0	0	0.498725	0.00255096	0.498725	0	0
0.027	-0.997508	0.997508	1.96429e-005	1.96429e-005	-1791.15	7218.47	267351	4904.42	0	0	0.498754	0.00249216	0.498754	0	0
0.028	-0.997506	0.997506	2.27388e-005	2.27388e-005	-1791.15	8000.05	285716	4904.72	0	0	0.498753	0.0024935	0.498753	0	0
0.029	-0.997602	0.997602	1.2957e-005	1.2957e-005	-1791.45	4423.61	152538	4905.04	0	0	0.498801	0.00239772	0.498801	0	0
0.03	-0.99761	0.99761	1.18355e-005	1.18355e-005	-1791.47	3914.33	130478	4905.21	0	0	0.498805	0.00239039	0.498805	0	0
0.031	-0.997556	0.997556	1.64833e-005	1.64833e-005	-1791.3	5275.72	170185	4905.35	0	0	0.498778	0.00244381	0.498778	0	0
0.032	-0.997539	0.997539	1.61678e-005	1.61678e-005	-1791.25	4892.78	152899	4905.54	0	0	0.498772	0.00245678	0.498772	0	0
0.033	-0.997565	0.997565	1.50027e-005	1.50027e-005	-1791.33	4510.82	136692	4905.71	0	0	0.498782	0.00243532	0.498782	0	0
0.034	-0.997601	0.997601	1.0634e-005	1.0634e-005	-1791.44	3102.16	91240	4905.86	0	0	0.498801	0.00239858	0.498801	0	0
0.035	-0.997581	0.997581	1.13845e-005	1.13845e-005	-1791.38	3227.3	92208.4	4905.97	0	0	0.498791	0.00241893	0.498791	0	0
0.036	-0.997544	0.997544	1.33938e-005	1.33938e-005	-1791.27	3654.14	101504	4906.07	0	0	0.498772	0.00245571	0.498772	0	0
0.037	-0.99744	0.99744	2.56941e-005	2.56941e-005	-1790.94	6869.89	185673	4906.18	0	0	0.498721	0.00255823	0.498721	0	0
